team,engine_supplier,upgrade_gain_potential,weight_reduction_potential,reliability_improvement_potential,development_speed,correlation_confidence
Red Bull Racing,Red Bull Ford,0.95,0.99,0.75,0.92,0.95
Ferrari,Ferrari,1,0.92,0.8,1,0.98
Mercedes,Mercedes,1,0.85,0.82,1,0.97
McLaren,Mercedes,0.97,0.82,0.78,0.9,0.96
Aston Martin,Honda,0.75,0.84,0.8,0.85,0.88
Alpine,Mercedes,0.9,0.78,0.82,0.9,0.85
Williams,Mercedes,0.88,1,0.78,0.8,0.8
Racing Bulls,Red Bull Ford,0.88,0.75,0.75,0.88,0.82
Audi,Audi,0.88,0.95,0.9,0.82,0.83
Cadillac,Ferrari,0.75,0.97,0.9,0.79,0.8
Haas,Ferrari,0.89,0.8,0.78,0.86,0.86
